Configuration,Description,Recall@10,Precision@10,NDCG@10
text_only,Text embeddings only,0.4000000000000001,0.20000000000000004,0.31854835865624304
image_only,Image embeddings only,0.20000000000000004,0.10000000000000002,0.14792664456679944
text_image,Text + Image hybrid,0.4000000000000001,0.20000000000000004,0.3342997241151201
with_rewriting,Text + Image + Query rewriting,0.5999999999999999,0.29999999999999993,0.4736954064456995
full,Full system (all features),0.5999999999999999,0.29999999999999993,0.464542957334384
